LOAN_DATE,LOAN_TYPE,CAR_YEAR,CAR_MAKE,CAR_MODEL,days in inv,PRICE,AMT FIN,DOWN PMT,PMT,ACV,TOT RECON,GROSS
 3/31/21,CD,2013,TOYOTA,YARIS,602,"1,000.00","1,160.00",0.00,"1,160.00","3,350.00",635.67,"-2,985.67"
 4/12/21,SL,2012,DODGE,GRAND CARA,121,"11,995.00","11,991.70","1,000.00",450.00,"3,900.00","1,520.28","6,574.72"
 1/27/21,WH,2008,GMC,SIERRA,813,"3,000.00","3,000.00",0.00,"3,000.00","17,700.00",315.00,"-15,015.00"
 2/5/21,SL,2018,JEEP,RENEGADE,189,"19,995.00","17,490.95","4,000.00",115.00,"13,300.00",887.73,"5,807.27"
 2/3/21,CD,2003,MAZDA,MX-5 MIATA,628,"1,500.00","1,695.00",0.00,"1,695.00","1,400.00",587.97,-487.97
 2/1/21,OH,2011,VOLKSWAGEN,JETTA,193,"6,995.00","7,094.55",800.00,100.00,"2,475.00","2,505.03","2,014.97"
 4/27/21,DS,2015,RAM,1500,589,"1,448.25","1,630.33",0.00,49.80,"10,000.00","2,525.00","-11,076.75"
 1/13/21,DS,2014,HYUNDAI,ACCENT,634,"1,416.51","1,445.67",150.00,42.93,"3,700.00","1,219.02","-3,502.51"
 7/20/21,DS,2007,BMW,335,817,"2,708.06","2,982.87",0.00,194.03,"10,370.62",533.47,"-8,196.03"
 7/22/21,DS,2014,RAM,1500,706,"1,060.52","1,013.36",200.00,47.65,"8,350.00",153.98,"-7,443.46"
 2/3/21,SL,2015,TOYOTA,CAMRY SE; LE; XLE; X,184,"14,995.00","15,102.90","1,300.00",120.00,"7,640.00","1,069.74","6,285.26"
 4/9/21,SL,2015,HONDA,FIT EX-L,167,"13,995.00","13,336.60","2,000.00",200.00,"7,210.00",814.40,"5,970.60"
 1/18/21,SL,2013,TOYOTA,CAMRY SE; LE; XLE,217,"12,995.00","12,552.80","2,000.00",125.00,"7,740.00",965.89,"4,289.11"
 3/29/21,SL,2017,KIA,FORTE LX,124,"13,995.00","14,621.15",500.00,225.00,"7,175.00",429.12,"6,390.88"
 1/12/21,SL,2015,FORD,EXPLORER,201,"18,995.00","18,874.85","2,000.00",250.00,"10,450.00",253.89,"8,291.11"
 3/18/21,SL,2019,TOYOTA,COROLLA CE; S; LE,177,"17,995.00","16,587.80","3,000.00",200.00,"12,375.00",761.37,"4,858.63"
 1/23/21,SL,2016,CHEVROLET,COLORADO WORK TRUCK,420,"21,995.00","22,347.10","2,000.00",200.00,"14,200.00",832.21,"6,962.79"
 3/3/21,SL,2019,NISSAN,ALTIMA 2.5 S,180,"20,995.00","17,772.00","5,000.00",250.00,"13,450.00",211.77,"7,333.23"
 3/25/21,OH,2016,KIA,FORTE LX,153,"11,995.00","12,714.50",500.00,215.00,"4,360.00","1,156.66","6,478.34"
 2/18/21,SL,2009,NISSAN,TITAN SE; LE; XE,166,"15,995.00","16,246.75","1,000.00",125.00,"9,240.00","1,223.13","5,531.87"
 3/17/21,SL,2015,TOYOTA,CAMRY,174,"16,995.00","17,210.25","1,100.00",250.00,"8,900.00","3,175.13","4,919.87"
 1/2/21,OH,2016,HYUNDAI,SONATA,216,"11,995.00","12,713.50","1,000.00",110.00,"5,500.00",605.42,"5,889.58"
 5/4/21,SL,2014,HONDA,ACCORD LX-S,109,"15,495.00","15,715.00","1,000.00",115.00,"7,945.00",788.38,"6,761.62"
 1/7/21,WH,2007,FORD,EDGE,646,825.00,825.00,0.00,825.00,"1,925.00",0.00,"-1,100.00"
 1/29/21,SL,2012,TOYOTA,CAMRY SE; LE; XLE,190,"13,495.00","10,556.80",0.00,200.00,"6,645.00","1,452.25","5,397.75"
 4/28/21,SL,2011,HONDA,ODYSSEY EX,118,"11,495.00","11,961.70",500.00,225.00,"4,855.00","1,788.18","4,851.82"
 2/19/21,SL,2012,HONDA,CIVIC LX,173,"10,995.00","10,647.15","1,500.00",220.00,"4,755.00",832.67,"5,407.33"
 3/10/21,SL,2013,HYUNDAI,ELANTRA GT BASE,167,"10,995.00","11,650.65",500.00,200.00,"4,555.00",980.92,"5,459.08"
 2/18/21,SL,2012,FORD,EXPLORER,167,"14,495.00","13,750.45","1,200.00",125.00,"6,825.00","1,035.61","6,634.39"
 1/20/21,SL,2017,TOYOTA,COROLLA CE; S; LE,531,"13,995.00","15,121.90",500.00,125.00,"7,775.00",365.73,"5,854.27"
 3/17/21,SL,2009,HONDA,FIT S,133,"11,995.00","12,212.75","1,000.00",200.00,"4,460.00","1,122.49","6,412.51"
 4/16/21,SL,2015,KIA,SOUL BASE,110,"11,495.00","12,182.40",500.00,225.00,"3,960.00","1,152.54","6,382.46"
 4/7/21,SL,2016,TOYOTA,COROLLA CE; S; LE,342,"15,995.00","15,463.95","2,000.00",250.00,"9,880.00","1,127.38","4,987.62"
 3/8/21,SL,2017,TOYOTA,COROLLA CE; S; LE,194,"14,995.00","15,428.95","1,000.00",130.00,"8,660.00","1,771.56","4,563.44"
 5/4/21,SL,2018,HYUNDAI,ACCENT SE; SEL,130,"17,495.00","17,842.35","1,000.00",225.00,"8,760.00","2,177.64","6,557.36"
 1/28/21,WH,2008,TOYOTA,TUNDRA,487,"6,250.00","6,250.00",0.00,"6,250.00","4,125.00",0.00,"2,125.00"
 2/9/21,SL,2015,DODGE,JOURNEY,170,"14,995.00","15,094.30",0.00,250.00,"7,100.00",662.27,"7,232.73"
 3/3/21,SL,2012,KIA,SOUL,159,"9,995.00","10,586.80",500.00,165.00,"4,144.52",0.00,"5,850.48"
 2/3/21,CD,2008,CHEVROLET,SUBURBAN BASE; LS; L,183,"5,000.00","5,440.00",0.00,"5,440.00","1,000.00",130.00,"3,870.00"
 1/9/21,SL,2012,TOYOTA,CAMRY SE; LE; XLE,202,"10,995.00","11,950.70",700.00,420.00,"4,610.00","1,183.26","5,201.74"
 1/8/21,SL,2018,HYUNDAI,ACCENT SE; SEL,251,"13,995.00","12,833.85","3,000.00",200.00,"8,040.00",728.12,"5,226.88"
 4/3/21,SL,2008,TOYOTA,RAV4 BASE,177,"12,995.00","13,075.55","1,200.00",210.00,"6,300.00","1,332.10","5,362.90"
 3/22/21,SL,2010,TOYOTA,RAV4 BASE,147,"12,995.00","12,553.80","1,500.00",100.00,"5,400.00","1,428.23","6,166.77"
 2/11/21,SL,2010,TOYOTA,VENZA BASE,167,"12,995.00","13,256.25",800.00,215.00,"6,300.00",784.68,"5,910.32"
 2/10/21,SL,2008,HONDA,CR-V EX,182,"10,995.00","11,630.65",300.00,100.00,"4,200.00","1,036.50","5,758.50"
 2/12/21,SL,2014,HONDA,ACCORD EX-L,167,"14,995.00","15,875.35",250.00,120.00,"7,200.00","1,264.79","6,530.21"
 2/26/21,SL,2014,HONDA,PILOT EXL,167,"14,495.00","18,311.67",500.00,275.00,"7,000.00","1,258.63","6,236.37"
 2/22/21,SL,2014,HONDA,ACCORD LX,201,"13,995.00","14,139.40","1,200.00",115.00,"6,700.00",792.20,"6,502.80"
 5/28/21,SL,2011,TOYOTA,SIENNA BASE; LIMITED,134,"12,995.00","17,011.50",500.00,260.00,"6,810.00","1,019.88","5,165.12"
 3/25/21,WH,2010,FORD,EDGE,144,"3,700.00","3,700.00",0.00,"3,700.00","2,200.00",0.00,"1,500.00"
 3/26/21,SL,2011,TOYOTA,CAMRY,132,"8,995.00","9,302.60",500.00,200.00,800.00,527.23,"7,667.77"
 5/8/21,SL,2014,HONDA,CIVIC EX,83,"13,995.00","13,840.10","1,000.00",250.00,"7,340.00","1,403.70","5,251.30"
 5/7/21,SL,2015,TOYOTA,CAMRY LE X,91,"14,495.00","16,129.68","2,000.00",125.00,"6,325.00","1,960.45","6,209.55"
 4/24/21,SL,2009,NISSAN,TITAN SE; LE; XE,105,"16,495.00","16,778.50","1,000.00",135.00,"7,310.00","2,040.08","7,144.92"
 1/9/21,SL,2015,HYUNDAI,ELANTRA GLS; LIMITED,209,"10,995.00","12,151.40",500.00,215.00,"4,610.00",877.08,"5,507.92"
 1/20/21,SL,2011,TOYOTA,SIENNA BASE; LIMITED,219,"14,495.00","8,362.10","4,000.00",125.00,"8,390.00","1,029.95","5,075.05"
 4/6/21,SL,2009,TOYOTA,COROLLA BASE; S; LE;,118,"10,995.00","10,647.15","1,500.00",90.00,"3,860.00",911.08,"6,223.92"
 6/26/21,SL,2008,TOYOTA,RAV4 LIMITED,41,"10,995.00","11,429.95",500.00,450.00,"5,810.00","1,209.56","3,975.44"
 4/12/21,WH,2006,MITSUBISHI,OUTLANDER,118,"1,275.00","1,275.00",0.00,"1,275.00",500.00,0.00,775.00
 5/12/21,SL,2016,HYUNDAI,ACCENT SE,91,"13,995.00","14,360.10",700.00,200.00,"6,160.00","1,216.32","6,618.68"
 5/6/21,SL,2011,HYUNDAI,ELANTRA GLS; LIMITED,133,"12,995.00","13,577.30",700.00,200.00,"5,810.00",820.92,"6,364.08"
 3/31/21,SL,2012,HYUNDAI,ELANTRA GLS; LIMITED,133,"12,995.00","12,774.50","1,500.00",210.00,"6,610.00",734.28,"5,650.72"
 4/8/21,SL,2012,HONDA,CROSSTOUR EX-L,118,"13,995.00","14,340.10","1,000.00",210.00,"6,510.00","1,088.86","6,396.14"
 5/22/21,OH,2014,NISSAN,ROGUE S; SL; SV,83,"11,995.00","11,209.25","2,000.00",200.00,"5,075.00",967.55,"5,952.45"
 3/18/21,WH,2002,CHEVROLET,AVALANCHE,587,"1,200.00","1,200.00",0.00,"1,200.00","2,125.00",0.00,-925.00
 4/13/21,SL,2018,KIA,FORTE,114,"13,995.00","14,420.45",700.00,200.00,"7,500.00",562.53,"5,932.47"
 4/9/21,SL,2016,KIA,FORTE LX,110,"13,495.00","13,527.30","1,000.00",220.00,"6,360.00",874.27,"6,260.73"
 4/7/21,SL,2016,NISSAN,ALTIMA 2.5; 2.5 S; 2,114,"15,995.00","16,246.75","1,000.00",250.00,"8,540.00",748.28,"6,706.72"
 4/8/21,SL,2008,TOYOTA,TUNDRA SR5; GRADE,112,"20,995.00","20,561.80","2,000.00",130.00,"12,095.00","1,351.81","7,548.19"
 5/3/21,SL,2014,TOYOTA,CAMRY SE; LE; XLE; L,128,"16,495.00","16,778.50","1,000.00",275.00,"9,580.00","1,117.68","5,797.32"
 4/15/21,SL,2011,SCION,TC BASE,105,"12,495.00","12,744.50","1,000.00",200.00,"6,010.00",928.88,"5,556.12"
 2/9/21,SL,2014,TOYOTA,CAMRY SE; LE; XLE; L,259,"13,995.00","13,758.00","1,300.00",100.00,"6,560.00","1,491.31","5,943.69"
 3/8/21,SL,2012,HYUNDAI,SONATA GLS,180,"11,495.00","11,680.65","1,000.00",200.00,"4,265.00","1,520.21","5,709.79"
 4/24/21,SL,2009,HONDA,ODYSSEY,127,"8,995.00","9,302.60",500.00,200.00,"3,800.00",678.90,"4,516.10"
 2/3/21,CD,2005,ACURA,TL,183,300.00,411.00,0.00,411.00,500.00,0.00,-200.00
 3/9/21,SL,2013,HONDA,ACCORD EX-L,153,"14,495.00","14,871.85","1,000.00",125.00,"7,840.00",932.65,"5,722.35"
 4/7/21,OH,2013,HONDA,CR-V EX-L,124,"13,995.00","13,718.00","1,400.00",115.00,"7,210.00",835.18,"5,949.82"
 3/2/21,SL,2012,HYUNDAI,ELANTRA GLS; LIMITED,181,"10,995.00","11,429.95",500.00,200.00,"4,560.00",712.17,"5,722.83"
 5/6/21,WH,2012,HONDA,PILOT TOURING-RES,139,"8,350.00","8,350.00",0.00,"8,350.00","7,440.00",365.33,544.67
 4/9/21,SL,2011,TOYOTA,COROLLA BASE; S; LE;,126,"11,495.00","11,961.70",500.00,210.00,"5,160.00",859.43,"5,475.57"
 2/24/21,SL,2013,TOYOTA,CAMRY SE; LE; XLE,181,"12,995.00","12,774.50","1,500.00",390.00,"6,610.00","1,389.41","4,995.59"
 2/17/21,SL,2016,NISSAN,ALTIMA 2.5; 2.5 S; 2,167,"14,495.00","14,651.15","1,000.00",100.00,"7,890.00",762.00,"5,843.00"
 2/26/21,SL,2012,TOYOTA,SIENNA BASE; LIMITED,160,"13,495.00","13,808.35","1,000.00",125.00,"6,510.00",818.03,"6,166.97"
 2/19/21,SL,2011,HONDA,CR-V EX-L,166,"13,995.00","14,621.15",500.00,130.00,"6,810.00","1,054.15","6,130.85"
 5/6/21,WH,2012,HYUNDAI,VELOSTER BASE,90,"3,120.00","3,120.00",0.00,"3,120.00","2,810.00",120.00,190.00
 3/17/21,SL,2016,HYUNDAI,ELANTRA LIMITED; SE;,153,"12,495.00","12,744.50","1,000.00",200.00,"4,660.00","1,170.04","6,664.96"
 4/9/21,SL,2017,HYUNDAI,ELANTRA LIMITED; SE,370,"15,995.00","16,969.20",500.00,115.00,"8,590.00","1,599.54","5,805.46"
 3/3/21,SL,2012,HONDA,CR-V LX,177,"13,495.00","13,507.30","1,300.00",200.00,"6,500.00","1,366.96","5,628.04"
 3/8/21,SL,2009,HONDA,PILOT EX,168,"13,995.00","13,025.55","1,500.00",190.00,"5,800.00","1,766.00","6,429.00"
 2/2/21,SL,2016,CHEVROLET,TAHOE,180,"29,995.00","27,064.55","5,000.00",800.00,"24,700.00","2,487.62","2,807.38"
 6/22/21,SL,2013,TOYOTA,RAV4 XLE,116,"16,995.00","16,246.75","2,000.00",235.00,"10,030.00","1,051.40","5,913.60"
